Age,CityTier,PitchDuration_Cap,NumberOfPersonVisiting,NumberOfFollowups,Product_Tier,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,MonthlyIncome,NumAdultsVisiting,IncomePerPerson,TypeofContact_Self Enquiry,Occupation_Large Business,Occupation_Salaried,Occupation_Small Business,Gender_Male,MaritalStatus_Married,MaritalStatus_Single,MaritalStatus_Unmarried,Designation_Executive,Designation_Manager,Designation_Senior Manager,Designation_VP,predicted_label,prediction_probability,true_label,correct_prediction
34,1,7,3,2,3,4,3,1,3,0,2,24166,1,8055.333333,False,False,True,False,False,False,False,False,False,True,False,False,0,3.2345557e-10,0,True
35,3,14,3,3,1,3,2,0,3,1,2,17572,1,5857.333333,True,False,True,False,False,True,False,False,True,False,False,False,0,5.4629313e-06,0,True
41,1,7,3,4,1,4,5,0,1,1,2,21065,1,7021.666667,True,False,True,False,True,False,False,False,True,False,False,False,0,0.000121411904,0,True
54,3,9,3,4,4,3,8,0,3,1,1,33530,2,11176.66667,True,False,False,True,True,True,False,False,False,False,False,False,0,0.0016265289,0,True
43,1,8,3,2,1,3,2,0,2,0,1,17645,2,5881.666667,True,False,False,True,False,True,False,False,True,False,False,False,0,2.643606e-10,0,True
35,3,16,4,4,3,3,3,0,1,0,1,24392,3,6098.0,True,False,True,False,False,True,False,False,False,True,False,False,0,2.777176e-06,0,True
48,1,21,3,3,2,3,2,0,3,0,0,33265,3,11088.33333,True,False,False,True,False,True,False,False,False,False,True,False,0,8.681504e-06,1,False
32,3,27,4,2,1,3,2,0,5,1,1,21469,3,5367.25,False,False,True,False,True,True,False,False,True,False,False,False,0,3.7765163e-05,0,True
35,3,13,3,6,1,3,2,0,4,1,2,21029,1,7009.666667,False,False,False,True,False,True,False,False,True,False,False,False,1,0.99780893,1,True
30,1,31,4,5,1,3,3,1,3,1,3,21117,1,5279.25,False,False,True,False,True,False,True,False,True,False,False,False,1,0.99988323,1,True
54,3,8,2,4,2,3,7,0,5,1,1,25686,1,12843.0,True,False,True,False,False,True,False,False,False,False,True,False,0,6.6552666e-12,0,True
41,2,10,2,5,3,4,7,0,5,0,1,21430,1,10715.0,False,False,True,False,True,True,False,False,False,True,False,False,0,3.0586463e-05,0,True
44,1,17,3,5,3,3,3,0,3,0,1,23935,2,7978.333333,False,False,True,False,False,True,False,False,False,True,False,False,0,0.0009140809,0,True
25,3,11,2,4,3,3,2,1,3,1,0,20744,2,10372.0,True,False,False,True,True,False,True,False,False,True,False,False,1,0.999985,1,True
45,1,31,3,4,1,3,5,1,5,0,2,21839,1,7279.666667,False,False,True,False,True,True,False,False,True,False,False,False,0,0.13844177,1,False
40,3,10,3,4,2,3,1,0,2,1,0,25855,3,8618.333333,True,False,False,True,True,False,False,False,False,False,True,False,0,0.0042134565,0,True
42,1,8,2,3,1,3,6,1,1,1,1,17515,1,8757.5,False,False,False,True,True,False,True,False,True,False,False,False,0,0.0034308673,0,True
23,1,10,3,5,1,3,2,1,3,0,2,21531,1,7177.0,False,False,True,False,True,True,False,False,True,False,False,False,0,0.007878477,1,False
36,1,23,4,5,2,4,3,0,1,1,3,27284,1,6821.0,True,False,True,False,False,False,False,True,False,False,True,False,0,0.00032503303,0,True
32,3,20,4,5,3,5,7,1,1,1,1,20980,3,5245.0,True,False,False,True,True,True,False,False,False,True,False,False,1,0.99697095,1,True
55,2,26,3,4,2,4,4,0,3,1,2,29403,1,9801.0,True,False,False,True,True,True,False,False,False,False,True,False,0,0.029433848,0,True
33,1,6,3,4,1,5,4,1,4,1,1,17799,2,5933.0,True,False,True,False,True,False,True,False,True,False,False,False,1,0.9999922,0,False
43,1,36,3,6,3,3,6,0,3,1,1,22950,2,7650.0,True,False,False,True,True,False,False,True,False,True,False,False,0,3.7611833e-05,0,True
43,3,15,2,5,3,3,1,0,1,0,0,20346,2,10173.0,True,False,False,True,False,False,True,False,False,True,False,False,1,0.94008946,1,True
36,1,17,3,4,3,3,5,1,1,1,1,24820,2,8273.333333,True,False,False,True,False,False,False,True,False,True,False,False,0,2.6776243e-06,0,True
25,3,14,2,3,3,3,1,1,1,1,1,19907,1,9953.5,True,False,True,False,False,True,False,False,False,True,False,False,0,7.509826e-06,0,True
32,1,30,4,5,3,3,2,0,3,0,2,24260,2,6065.0,True,False,False,True,True,True,False,False,False,True,False,False,0,0.005806315,0,True
36,1,23,3,3,1,4,2,0,3,1,2,21104,1,7034.666667,True,False,False,True,True,False,False,False,True,False,False,False,0,2.7350983e-05,0,True
38,1,9,2,3,3,3,4,1,5,0,0,1000,2,500.0,True,True,False,False,False,False,True,False,False,True,False,False,0,0.0027429804,0,True
38,3,7,3,5,2,3,7,0,2,1,2,29287,1,9762.333333,True,False,True,False,True,False,False,False,False,False,True,False,1,0.99782467,1,True
34,3,32,3,4,3,3,3,0,3,0,2,23217,1,7739.0,False,False,False,True,False,True,False,False,False,True,False,False,0,2.5107774e-05,0,True
34,1,12,2,3,1,5,3,0,2,1,1,17960,1,8980.0,True,False,False,True,True,False,True,False,True,False,False,False,0,0.00026524803,1,False
34,1,15,3,3,3,5,5,0,3,0,1,20346,2,6782.0,False,False,True,False,True,True,False,False,False,True,False,False,0,0.20915395,1,False
27,1,6,3,3,2,5,2,0,4,1,2,22412,1,7470.666667,True,False,True,False,False,False,False,False,False,False,True,False,1,0.9700237,0,False
32,1,14,3,4,3,5,3,0,1,1,1,22984,2,7661.333333,True,False,False,True,False,True,False,False,False,True,False,False,0,7.957428e-05,0,True
32,1,15,3,3,3,3,2,1,5,1,2,21322,1,7107.333333,True,False,True,False,False,True,False,False,False,True,False,False,1,0.9648591,0,False
29,3,16,3,3,1,3,2,0,4,1,0,17642,3,5880.666667,True,False,True,False,True,False,True,False,True,False,False,False,0,0.010114305,0,True
56,1,29,4,5,1,4,7,0,1,1,2,22215,2,5553.75,True,True,False,False,True,True,False,False,True,False,False,False,1,0.960732,0,False
31,1,15,2,4,1,5,1,1,3,1,0,17321,2,8660.5,False,False,False,True,True,False,True,False,True,False,False,False,1,0.92179906,1,True
47,1,35,2,3,2,4,2,1,3,1,0,26849,2,13424.5,False,False,True,False,True,True,False,False,False,False,True,False,1,0.73998433,1,True
28,1,23,3,4,1,4,2,0,1,1,1,21489,2,7163.0,True,True,False,False,False,True,False,False,True,False,False,False,0,0.042647153,0,True
27,3,30,3,5,3,3,2,1,1,0,1,22835,2,7611.666667,True,False,False,True,False,True,False,False,False,True,False,False,0,0.0003408481,0,True
29,3,11,3,4,3,3,3,0,1,0,1,22899,2,7633.0,False,False,False,True,True,True,False,False,False,True,False,False,0,2.2585507e-09,0,True
35,1,7,4,2,1,3,4,0,2,0,1,21958,3,5489.5,True,False,True,False,False,False,False,True,True,False,False,False,0,0.005187632,0,True
31,1,31,4,4,1,3,3,0,3,1,3,21371,1,5342.75,True,False,True,False,True,True,False,False,True,False,False,False,0,8.938453e-05,0,True
46,1,21,2,3,5,4,6,0,3,1,1,34081,1,17040.5,True,False,True,False,True,False,False,False,False,False,False,True,0,1.0711582e-08,0,True
29,1,16,4,4,1,3,7,0,3,0,1,21055,3,5263.75,True,False,False,True,False,True,False,False,True,False,False,False,0,1.2079873e-06,0,True
24,2,16,2,3,1,3,1,0,4,1,1,17145,1,8572.5,False,False,False,True,True,True,False,False,True,False,False,False,0,0.007196262,0,True
45,1,14,3,5,2,3,5,0,4,0,1,28926,2,9642.0,True,False,False,True,False,True,False,False,False,False,True,False,0,0.00016183007,0,True
49,3,31,4,6,1,3,3,1,1,1,3,21237,1,5309.25,False,False,True,False,True,False,True,False,True,False,False,False,1,0.99979585,1,True
55,3,9,3,5,2,3,8,0,5,1,2,29364,1,9788.0,True,False,True,False,False,True,False,False,False,False,True,False,0,3.3429207e-10,0,True
29,3,14,3,4,3,5,2,0,3,1,2,23576,1,7858.666667,False,False,True,False,True,False,False,True,False,True,False,False,0,0.014650825,0,True
31,2,28,2,5,1,3,2,0,1,0,1,24852,1,12426.0,True,False,True,False,True,True,False,False,True,False,False,False,1,0.95882696,1,True
57,1,7,3,4,3,3,3,0,3,0,1,24984,2,8328.0,False,False,True,False,True,True,False,False,False,True,False,False,0,0.050843917,0,True
38,1,21,3,4,2,3,1,1,5,1,1,26510,2,8836.666667,True,False,True,False,True,True,False,False,False,False,True,False,0,0.001028734,0,True
32,1,18,3,4,1,3,5,1,3,0,1,21034,2,7011.333333,True,False,True,False,True,True,False,False,True,False,False,False,0,0.22254051,0,True
32,1,6,3,3,1,3,1,0,5,1,0,17314,3,5771.333333,False,False,True,False,True,True,False,False,True,False,False,False,0,0.00050144474,0,True
33,1,23,4,6,1,5,3,1,4,1,3,22597,1,5649.25,False,False,True,False,False,False,False,True,True,False,False,False,1,0.9999985,1,True
42,3,27,4,4,1,4,3,1,4,0,3,21818,1,5454.5,True,False,False,True,False,False,False,True,True,False,False,False,1,0.9999886,1,True
59,1,28,4,4,3,4,6,0,3,1,2,28686,2,7171.5,True,False,False,True,False,True,False,False,False,True,False,False,1,0.96759945,1,True
50,1,15,3,4,2,4,6,0,4,0,1,26081,2,8693.666667,True,False,True,False,False,False,False,False,False,False,True,False,0,1.6818888e-07,0,True
44,1,8,3,1,2,3,2,1,4,1,0,22879,3,7626.333333,True,False,True,False,False,True,False,False,False,False,True,False,0,7.067801e-05,0,True
39,1,8,3,3,2,3,1,0,1,1,2,25938,1,8646.0,False,True,False,False,False,False,False,True,False,False,True,False,0,7.829276e-05,0,True
52,3,8,3,4,5,3,2,1,1,1,0,34068,3,11356.0,False,False,True,False,True,False,True,False,False,False,False,True,0,0.0038323165,0,True
52,1,8,2,4,1,3,1,0,3,0,0,18212,2,9106.0,True,False,True,False,False,False,True,False,True,False,False,False,0,0.011367321,0,True
21,1,13,4,5,1,3,3,1,2,1,2,21604,2,5401.0,False,False,True,False,False,False,False,True,True,False,False,False,1,0.7082995,1,True
27,1,9,2,4,1,3,1,0,2,0,0,17045,2,8522.5,True,False,False,True,True,False,True,False,True,False,False,False,0,0.000229396,0,True
46,1,9,4,5,1,3,3,0,3,1,2,20952,2,5238.0,True,False,True,False,False,False,True,False,True,False,False,False,0,0.00030779443,0,True
38,3,16,4,4,2,4,3,0,2,1,1,27512,3,6878.0,False,False,False,True,True,True,False,False,False,False,True,False,0,7.063282e-08,0,True
30,3,35,2,3,2,4,4,0,4,0,1,24250,1,12125.0,True,True,False,False,True,True,False,False,False,False,True,False,0,0.0001108845,0,True
37,1,7,3,4,3,4,2,0,5,0,1,23906,2,7968.666667,True,False,True,False,False,False,False,False,False,True,False,False,0,2.841571e-05,0,True
55,1,8,2,4,5,5,1,0,5,0,1,34038,1,17019.0,True,False,False,True,True,True,False,False,False,False,False,True,0,1.9901074e-11,0,True
52,3,31,3,5,3,4,2,1,5,1,2,21516,1,7172.0,True,False,False,True,False,False,False,True,False,True,False,False,1,0.9029678,1,True
35,1,17,3,4,2,5,3,1,5,1,2,24884,1,8294.666667,False,False,False,True,True,True,False,False,False,False,True,False,0,0.003918747,0,True
50,1,35,2,4,4,3,1,0,5,1,1,32046,1,16023.0,True,False,True,False,True,False,False,False,False,False,False,False,0,8.503627e-07,0,True
30,3,7,3,5,1,3,8,1,2,0,2,21478,1,7159.333333,True,False,False,True,False,True,False,False,True,False,False,False,1,0.9997254,1,True
49,3,9,3,2,3,4,5,0,3,0,2,26798,1,8932.666667,True,False,False,True,True,True,False,False,False,True,False,False,0,3.9845574e-07,0,True
42,1,6,2,4,3,3,1,1,3,0,1,21062,1,10531.0,True,False,True,False,False,False,False,False,False,True,False,False,0,1.8965183e-09,0,True
35,1,16,4,4,3,5,6,0,3,0,2,24024,2,6006.0,False,False,True,False,True,True,False,False,False,True,False,False,1,0.9339414,1,True
35,1,9,4,2,1,3,2,1,1,0,2,21610,2,5402.5,True,False,False,True,True,True,False,False,True,False,False,False,0,1.1921959e-06,0,True
35,3,9,3,4,3,3,3,0,5,0,1,24952,2,8317.333333,True,False,True,False,True,False,False,True,False,True,False,False,0,3.593632e-05,0,True
51,1,27,3,4,4,3,4,1,4,1,2,29923,1,9974.333333,False,False,False,True,True,True,False,False,False,False,False,False,0,0.00010568827,0,True
19,3,27,2,4,1,4,2,1,1,1,1,17121,1,8560.5,True,False,True,False,True,False,True,False,True,False,False,False,1,0.9686738,1,True
36,3,9,3,4,2,3,1,0,3,1,0,22644,3,7548.0,True,False,False,True,False,True,False,False,False,False,True,False,0,0.00015920977,0,True
50,1,7,3,5,4,3,2,1,3,0,1,32642,2,10880.66667,True,True,False,False,False,False,True,False,False,False,False,False,0,2.8693736e-12,0,True
30,1,34,3,3,3,3,2,0,3,1,2,20775,1,6925.0,True,False,False,True,False,True,False,False,False,True,False,False,0,2.0407448e-05,0,True
33,1,13,3,4,1,3,5,0,2,0,2,21716,1,7238.666667,True,False,True,False,True,False,False,True,True,False,False,False,0,0.0024469052,0,True
29,1,17,3,4,3,3,5,0,4,1,2,22338,1,7446.0,True,False,True,False,False,False,False,True,False,True,False,False,0,2.63798e-06,0,True
22,1,21,2,3,1,3,2,0,1,1,1,17871,1,8935.5,True,False,False,True,False,False,True,False,True,False,False,False,0,4.3245414e-06,0,True
29,1,14,3,5,1,5,2,1,3,0,1,17119,2,5706.333333,True,False,True,False,True,True,False,False,True,False,False,False,1,0.7966297,1,True
37,3,9,4,4,1,3,5,1,3,0,1,21322,3,5330.5,True,False,True,False,True,False,False,True,True,False,False,False,1,0.9692957,0,False
54,1,8,2,3,2,3,1,0,4,0,0,28549,2,14274.5,True,True,False,False,False,True,False,False,False,False,True,False,0,4.294044e-09,0,True
36,1,9,2,3,1,3,6,0,2,1,0,17835,2,8917.5,True,False,True,False,False,True,False,False,True,False,False,False,0,2.9771178e-07,0,True
20,1,17,4,5,1,4,3,1,5,0,3,20537,1,5134.25,False,False,False,True,False,False,True,False,True,False,False,False,1,0.9999948,1,True
32,1,14,3,1,3,3,6,0,3,1,2,20175,1,6725.0,True,False,False,True,False,False,False,False,False,True,False,False,0,1.6683402e-05,0,True
53,3,8,2,4,2,4,3,0,2,0,1,22525,1,11262.5,False,False,False,True,False,False,False,False,False,False,True,False,0,1.5868589e-05,0,True
35,1,8,2,4,2,4,3,0,4,1,0,25274,2,12637.0,True,False,True,False,True,True,False,False,False,False,True,False,0,7.77815e-07,0,True
32,1,8,2,4,3,5,5,0,4,0,1,17176,1,8588.0,True,True,False,False,True,False,True,False,False,True,False,False,0,0.100700796,0,True
47,1,10,3,4,2,4,1,1,4,1,2,25333,1,8444.333333,True,False,True,False,False,True,False,False,False,False,True,False,0,0.044042844,0,True
40,1,31,3,4,3,3,2,0,4,1,1,22786,2,7595.333333,True,False,True,False,True,False,False,True,False,True,False,False,0,1.1383052e-09,0,True
34,3,16,4,4,3,5,2,1,3,0,2,26902,2,6725.5,True,False,False,True,False,False,False,True,False,True,False,False,1,0.9927257,1,True
28,3,9,4,4,3,3,3,1,4,0,2,23156,2,5789.0,True,False,True,False,True,False,False,True,False,True,False,False,1,0.8971147,0,False
39,1,16,4,4,1,3,3,0,1,1,3,20966,1,5241.5,True,False,True,False,False,False,True,False,True,False,False,False,0,9.986212e-05,0,True
39,1,9,3,4,1,3,7,1,4,0,2,22622,1,7540.666667,True,False,True,False,True,False,False,True,True,False,False,False,1,0.9986971,0,False
43,1,16,2,3,1,3,1,0,5,0,0,17455,2,8727.5,False,False,True,False,False,False,True,False,True,False,False,False,0,0.08859089,0,True
34,1,7,3,5,3,3,2,0,4,0,1,25627,2,8542.333333,True,False,True,False,False,False,False,True,False,True,False,False,0,0.0002643908,0,True
36,1,22,2,1,1,5,2,0,1,1,0,17743,2,8871.5,True,False,True,False,False,False,True,False,True,False,False,False,1,0.9933421,1,True
60,1,25,4,4,2,3,8,0,3,1,2,29190,2,7297.5,True,False,False,True,True,False,True,False,False,False,True,False,0,0.00081659755,0,True
51,3,27,3,3,3,3,1,1,5,1,1,20441,2,6813.666667,True,False,False,True,True,False,True,False,False,True,False,False,1,0.9730158,0,False
30,1,35,4,5,1,5,3,0,1,0,2,22463,2,5615.75,True,False,False,True,False,False,False,True,True,False,False,False,1,0.9360351,0,False
29,1,16,3,4,1,5,7,1,5,1,0,17404,3,5801.333333,True,False,True,False,False,False,True,False,True,False,False,False,1,0.999724,1,True
37,1,25,4,4,1,3,3,0,3,1,3,20831,1,5207.75,False,False,False,True,False,False,True,False,True,False,False,False,0,1.0923517e-06,0,True
35,1,24,3,4,1,3,3,1,5,1,1,23216,2,7738.666667,True,False,True,False,False,False,False,True,True,False,False,False,1,0.6119364,1,True
30,3,17,4,4,1,3,3,0,4,1,1,21320,3,5330.0,True,False,True,False,True,False,False,True,True,False,False,False,0,0.008078052,0,True
51,3,7,4,4,3,3,2,0,2,1,2,25025,2,6256.25,False,False,True,False,False,False,False,False,False,True,False,False,0,3.0177134e-05,0,True
34,1,33,3,3,1,4,3,0,3,0,0,17311,3,5770.333333,True,False,False,True,False,False,True,False,True,False,False,False,0,0.03250352,0,True
34,3,15,3,4,3,3,2,0,1,0,1,25782,2,8594.0,True,False,False,True,True,True,False,False,False,True,False,False,0,1.3736046e-06,0,True
49,1,8,2,3,5,3,4,0,3,1,0,34161,2,17080.5,False,False,True,False,True,True,False,False,False,False,False,True,0,3.3694054e-05,0,True
33,3,6,2,1,3,5,3,0,3,0,1,20376,1,10188.0,False,False,True,False,False,True,False,False,False,True,False,False,0,1.31426905e-05,0,True
43,3,22,3,3,4,3,6,1,3,0,0,31064,3,10354.66667,True,False,False,True,False,True,False,False,False,False,False,False,0,7.2448485e-05,0,True
32,1,19,3,4,1,4,2,0,5,0,0,17743,3,5914.333333,False,False,True,False,False,False,False,False,True,False,False,False,0,0.0075054043,0,True
57,3,13,3,2,4,5,2,0,3,1,1,31890,2,10630.0,False,False,True,False,False,True,False,False,False,False,False,False,0,7.932855e-06,0,True
58,1,8,2,3,5,4,1,1,3,1,0,34246,2,17123.0,True,False,True,False,True,False,True,False,False,False,False,True,0,0.00021296019,1,False
36,1,16,3,4,3,3,3,0,4,0,2,23776,1,7925.333333,True,False,False,True,True,False,False,True,False,True,False,False,0,3.5866433e-05,0,True
21,3,16,3,4,1,3,3,1,4,0,1,21001,2,7000.333333,False,False,False,True,False,False,True,False,True,False,False,False,1,0.99989575,1,True
36,3,9,4,4,1,3,3,0,1,1,3,20692,1,5173.0,True,False,False,True,False,True,False,False,True,False,False,False,0,3.9279258e-10,0,True
29,1,34,3,3,1,3,5,0,5,1,0,17514,3,5838.0,True,False,True,False,False,True,False,False,True,False,False,False,0,1.3200621e-06,0,True
50,1,27,4,4,3,5,3,0,1,1,1,25245,3,6311.25,True,False,False,True,False,True,False,False,False,True,False,False,0,0.056250572,0,True
38,1,16,3,3,1,3,1,0,5,0,0,17684,3,5894.666667,False,False,False,True,True,True,False,False,True,False,False,False,0,0.13621044,0,True
45,1,11,2,5,3,5,2,1,3,1,0,20769,2,10384.5,True,False,False,True,False,False,True,False,False,True,False,False,0,0.000119445176,0,True
46,2,31,3,4,1,4,3,0,4,0,2,20855,1,6951.666667,True,False,False,True,True,False,True,False,True,False,False,False,0,0.0003090467,0,True
24,1,33,3,4,1,3,3,0,2,1,2,21582,1,7194.0,True,False,True,False,True,True,False,False,True,False,False,False,0,0.0026365507,0,True
44,1,15,3,3,1,5,2,1,3,1,0,17559,3,5853.0,True,False,True,False,True,False,False,False,True,False,False,False,0,0.19895223,0,True
23,3,15,2,3,1,5,2,0,5,1,0,16790,2,8395.0,False,False,False,True,True,True,False,False,True,False,False,False,1,0.9985974,1,True
32,3,14,4,4,3,3,6,0,1,0,1,26225,3,6556.25,True,False,False,True,True,True,False,False,False,True,False,False,0,2.6221912e-07,0,True
38,1,35,3,3,3,5,1,1,3,1,2,21673,1,7224.333333,True,False,False,True,True,True,False,False,False,True,False,False,0,4.5621757e-05,1,False
27,1,23,2,3,1,3,2,1,5,1,0,17394,2,8697.0,True,False,True,False,False,False,True,False,True,False,False,False,1,0.9894409,1,True
40,1,12,3,3,4,3,1,0,5,1,2,28237,1,9412.333333,True,False,True,False,False,False,False,True,False,False,False,False,0,9.293329e-06,0,True
50,3,18,3,4,2,3,3,0,4,0,2,26332,1,8777.333333,True,False,False,True,False,False,False,False,False,False,True,False,1,0.99499625,1,True
23,1,12,3,1,1,5,2,1,3,1,2,16601,1,5533.666667,True,False,True,False,True,False,False,False,True,False,False,False,0,0.42554006,1,False
56,1,25,4,4,3,4,5,1,5,1,2,25063,2,6265.75,False,False,False,True,True,True,False,False,False,True,False,False,0,0.0060593933,0,True
31,1,7,3,4,3,3,3,0,3,1,1,22689,2,7563.0,False,False,False,True,False,False,False,True,False,True,False,False,0,5.7226545e-05,0,True
30,1,15,3,6,3,5,5,0,1,0,1,28393,2,9464.333333,True,False,True,False,False,True,False,False,False,True,False,False,0,4.048143e-07,0,True
40,3,10,3,4,2,3,1,0,1,1,1,25855,2,8618.333333,True,False,False,True,True,True,False,False,False,False,True,False,0,6.707548e-05,0,True
27,3,8,2,5,3,3,4,0,4,1,1,20071,1,10035.5,False,False,True,False,True,False,True,False,False,True,False,False,0,0.28007302,0,True
38,1,18,4,4,1,3,6,0,3,0,2,22307,2,5576.75,True,False,False,True,False,False,False,True,True,False,False,False,0,1.2994184e-05,0,True
49,1,13,4,5,3,3,4,0,2,0,1,22918,3,5729.5,True,False,True,False,True,False,False,True,False,True,False,False,0,0.10386259,0,True
29,1,13,2,3,1,5,4,0,4,0,0,17062,2,8531.0,True,False,True,False,True,False,True,False,True,False,False,False,1,0.9614524,0,False
48,3,9,3,4,3,3,2,1,1,1,2,23215,1,7738.333333,True,False,False,True,False,True,False,False,False,True,False,False,0,0.00014352665,0,True
31,3,19,3,4,3,3,2,0,1,1,2,25255,1,8418.333333,True,True,False,False,False,False,False,True,False,True,False,False,0,0.00055596366,0,True
59,3,6,2,4,3,3,1,0,5,1,1,20473,1,10236.5,False,False,True,False,False,False,True,False,False,True,False,False,0,8.340522e-05,0,True
25,1,9,3,4,1,3,3,1,3,1,2,22438,1,7479.333333,False,True,False,False,False,False,False,True,True,False,False,False,1,0.9912294,0,False
58,1,7,3,4,3,3,4,0,3,0,2,25433,1,8477.666667,True,False,False,True,True,True,False,False,False,True,False,False,0,1.231942e-05,0,True
41,1,31,4,4,3,3,3,0,3,1,2,21997,2,5499.25,True,True,False,False,True,True,False,False,False,True,False,False,0,5.178157e-05,0,True
27,3,16,3,4,3,3,2,1,3,1,2,20769,1,6923.0,True,False,False,True,False,False,False,False,False,True,False,False,1,0.9717526,0,False
39,3,27,2,4,3,3,4,1,1,0,1,21120,1,10560.0,True,False,True,False,True,False,False,False,False,True,False,False,0,0.10820686,0,True
28,3,16,3,3,1,4,2,0,5,1,1,16052,2,5350.666667,True,False,False,True,True,False,False,False,True,False,False,False,0,0.10594367,0,True
35,1,9,2,4,1,3,2,0,2,1,1,16281,1,8140.5,False,False,True,False,True,False,False,False,True,False,False,False,0,1.239405e-06,0,True
41,1,7,4,5,4,4,3,0,2,1,3,32181,1,8045.25,False,False,True,False,True,False,False,False,False,False,False,False,0,4.0653266e-08,0,True
30,3,9,3,4,3,3,3,0,2,0,1,23232,2,7744.0,False,False,True,False,True,False,False,True,False,True,False,False,0,0.0071806754,0,True
21,1,13,4,5,1,3,3,1,1,0,1,21604,3,5401.0,False,False,True,False,False,False,False,True,True,False,False,False,0,0.0029191687,1,False
58,1,8,2,3,5,4,1,1,3,1,1,34246,1,17123.0,True,False,True,False,True,False,True,False,False,False,False,True,0,1.933504e-06,1,False
49,3,14,2,4,4,4,7,0,4,1,1,28120,1,14060.0,True,True,False,False,True,True,False,False,False,False,False,False,0,0.0025369844,0,True
56,1,11,2,4,3,3,2,1,4,0,1,22713,1,11356.5,True,False,True,False,True,False,False,False,False,True,False,False,0,1.450283e-07,0,True
59,1,9,3,4,1,3,6,0,2,1,2,21157,1,7052.333333,True,True,False,False,True,False,True,False,True,False,False,False,1,0.99613583,1,True
35,3,20,3,4,2,3,3,0,1,1,2,27306,1,9102.0,True,False,False,True,True,True,False,False,False,False,True,False,0,0.0002954722,0,True
45,3,8,2,5,3,3,1,0,5,0,0,21632,2,10816.0,True,True,False,False,True,False,False,True,False,True,False,False,0,0.00040997734,0,True
38,1,10,3,4,3,4,5,0,4,1,1,22785,2,7595.0,True,False,True,False,False,False,False,True,False,True,False,False,0,2.0433195e-07,0,True
55,3,15,2,5,1,4,2,0,1,1,1,34187,1,17093.5,True,False,False,True,False,False,True,False,True,False,False,False,0,0.0039295303,1,False
