Age,CityTier,PitchDuration_Cap,NumberOfPersonVisiting,NumberOfFollowups,Product_Tier,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,MonthlyIncome,NumAdultsVisiting,IncomePerPerson,TypeofContact_Self Enquiry,Occupation_Large Business,Occupation_Salaried,Occupation_Small Business,Gender_Male,MaritalStatus_Married,MaritalStatus_Single,MaritalStatus_Unmarried,Designation_Executive,Designation_Manager,Designation_Senior Manager,Designation_VP,ProdTaken
35,1,15,4,4,3,3,5,0,4,0,2,24820,2,6205.0,True,False,False,True,False,False,False,True,False,True,False,False,0
32,1,30,3,3,3,3,2,0,4,1,0,20309,3,6769.666667,False,False,True,False,True,False,False,False,False,True,False,False,0
38,1,7,4,4,3,4,8,0,1,1,3,25125,1,6281.25,True,False,True,False,False,True,False,False,False,True,False,False,0
44,1,34,3,4,2,5,2,0,4,0,1,29498,2,9832.666667,False,False,True,False,False,False,False,False,False,False,True,False,0
47,1,8,2,3,4,3,4,0,5,1,0,32169,2,16084.5,True,False,False,True,False,False,False,False,False,False,False,False,0
56,1,13,2,5,2,3,5,0,1,0,0,22260,2,11130.0,True,False,True,False,True,False,False,True,False,False,True,False,0
44,1,6,2,3,1,3,7,1,4,0,1,17436,1,8718.0,True,False,False,True,True,False,True,False,True,False,False,False,0
31,1,15,4,2,2,5,2,1,2,0,3,30094,1,7523.5,True,False,True,False,False,False,False,False,False,False,True,False,0
40,1,15,2,3,1,5,4,0,1,1,1,17018,1,8509.0,True,False,True,False,True,False,True,False,True,False,False,False,1
28,1,14,3,5,3,5,2,0,3,1,1,25489,2,8496.333333,True,False,False,True,False,False,False,True,False,True,False,False,0
31,1,9,4,4,1,4,3,0,3,0,1,30594,3,7648.5,True,False,True,False,True,False,True,False,True,False,False,False,1
36,1,16,3,4,3,3,3,0,4,0,2,23776,1,7925.333333,True,False,False,True,True,False,False,True,False,True,False,False,0
53,1,10,3,5,2,3,4,1,1,1,1,26647,2,8882.333333,True,False,False,True,True,True,False,False,False,False,True,False,0
45,1,10,3,4,1,5,6,0,5,1,2,21040,1,7013.333333,True,False,True,False,True,False,False,False,True,False,False,False,1
32,3,13,3,4,3,3,2,0,3,1,2,20484,1,6828.0,True,False,True,False,True,False,False,False,False,True,False,False,0
45,1,8,2,4,3,3,2,0,4,1,1,20770,1,10385.0,True,False,True,False,False,True,False,False,False,True,False,False,0
38,2,6,2,1,1,3,2,0,4,1,0,17844,2,8922.0,True,False,True,False,True,False,False,False,True,False,False,False,0
55,1,26,2,3,3,3,4,1,1,0,0,20415,2,10207.5,True,True,False,False,True,True,False,False,False,True,False,False,0
35,1,9,2,4,1,3,2,0,2,1,1,16281,1,8140.5,False,False,True,False,True,False,False,False,True,False,False,False,0
27,3,16,3,4,3,3,2,1,3,1,2,20769,1,6923.0,True,False,False,True,False,False,False,False,False,True,False,False,0
30,1,21,3,4,2,3,2,1,5,1,1,26231,2,8743.666667,False,False,True,False,False,False,False,True,False,False,True,False,1
59,2,8,2,4,5,3,1,0,2,1,1,33844,1,16922.0,False,False,True,False,False,False,False,False,False,False,False,True,0
35,1,9,3,5,1,5,3,0,2,1,2,23059,1,7686.333333,True,False,False,True,False,False,False,True,True,False,False,False,0
29,1,26,4,5,1,5,3,0,3,1,3,21874,1,5468.5,True,False,False,True,True,False,False,False,True,False,False,False,0
41,1,7,3,4,1,3,2,0,1,0,1,21084,2,7028.0,True,False,True,False,True,True,False,False,True,False,False,False,0
29,1,7,3,5,1,4,3,0,4,1,1,21274,2,7091.333333,False,False,False,True,True,True,False,False,True,False,False,False,1
46,3,8,3,5,4,4,4,1,5,1,0,31872,3,10624.0,True,True,False,False,False,True,False,False,False,False,False,False,0
37,1,6,2,3,1,3,2,0,1,1,0,17115,2,8557.5,True,False,True,False,False,False,True,False,True,False,False,False,0
28,1,24,3,4,1,3,3,1,5,1,1,21072,2,7024.0,True,False,True,False,False,False,True,False,True,False,False,False,1
25,1,9,2,3,1,5,5,0,5,1,0,16118,2,8059.0,True,False,True,False,True,True,False,False,True,False,False,False,1
21,1,13,4,5,1,3,3,1,1,0,1,21604,3,5401.0,False,False,True,False,False,False,False,True,True,False,False,False,1
37,1,6,2,3,2,3,5,0,5,1,1,22491,1,11245.5,True,True,False,False,False,False,False,True,False,False,True,False,0
35,3,11,4,4,3,3,2,0,1,0,1,25216,3,6304.0,False,False,False,True,False,True,False,False,False,True,False,False,0
45,1,7,3,4,1,3,8,1,4,0,2,21114,1,7038.0,True,False,False,True,True,False,True,False,True,False,False,False,0
38,3,15,3,4,1,4,1,0,4,0,2,17899,1,5966.333333,True,False,False,True,True,True,False,False,True,False,False,False,0
34,2,9,3,4,1,3,3,0,2,0,1,22278,2,7426.0,True,False,True,False,True,False,False,False,True,False,False,False,0
30,1,7,3,4,1,3,2,0,2,0,1,20736,2,6912.0,True,True,False,False,True,False,True,False,True,False,False,False,1
40,1,29,3,4,2,5,3,1,5,1,1,29558,2,9852.666667,False,False,False,True,False,False,True,False,False,False,True,False,0
61,3,23,3,4,3,5,2,0,4,1,2,24083,1,8027.666667,True,False,False,True,True,False,False,True,False,True,False,False,0
37,1,18,4,5,3,4,3,0,4,1,2,25177,2,6294.25,False,False,True,False,True,False,False,True,False,True,False,False,0
31,1,31,4,4,1,3,3,0,2,0,2,21371,2,5342.75,True,False,True,False,True,True,False,False,True,False,False,False,0
36,1,6,2,3,3,4,1,0,5,1,1,20228,1,10114.0,True,False,True,False,False,True,False,False,False,True,False,False,0
36,3,9,2,4,2,3,2,1,1,1,0,25325,2,12662.5,True,False,True,False,True,True,False,False,False,False,True,False,1
38,2,13,4,4,1,5,6,1,1,0,3,20751,1,5187.75,True,False,True,False,True,True,False,False,True,False,False,False,1
34,3,16,4,4,3,5,2,1,3,0,1,26902,3,6725.5,True,False,False,True,False,False,False,True,False,True,False,False,1
38,1,17,3,4,1,5,2,1,3,1,2,21460,1,7153.333333,True,False,True,False,False,True,False,False,True,False,False,False,0
21,3,15,2,3,1,3,2,0,4,0,0,17610,2,8805.0,False,False,False,True,True,False,True,False,True,False,False,False,0
50,1,12,4,4,3,3,4,0,3,0,1,25329,3,6332.25,True,True,False,False,True,False,False,False,False,True,False,False,0
41,3,23,4,4,2,3,4,0,5,0,2,22222,2,5555.5,True,False,False,True,True,True,False,False,False,False,True,False,1
37,1,8,3,4,1,3,7,1,3,0,0,17090,3,5696.666667,True,False,False,False,True,False,True,False,True,False,False,False,1
24,1,15,4,5,1,3,3,1,4,1,3,22667,1,5666.75,True,False,False,True,True,False,False,True,True,False,False,False,1
41,1,15,3,3,1,5,3,0,1,0,0,17238,3,5746.0,True,False,True,False,True,True,False,False,True,False,False,False,0
59,1,24,3,3,2,3,7,0,3,1,1,25512,2,8504.0,True,False,False,True,True,False,False,True,False,False,True,False,0
37,1,14,4,4,1,3,4,0,3,0,3,23356,1,5839.0,True,False,True,False,True,False,False,True,True,False,False,False,0
41,1,11,3,4,1,5,7,0,3,1,0,17107,3,5702.333333,False,False,True,False,True,True,False,False,True,False,False,False,1
42,1,8,3,4,3,3,4,0,2,0,1,21781,2,7260.333333,True,False,True,False,True,False,False,True,False,True,False,False,0
26,3,11,4,5,3,3,3,1,1,0,3,23165,1,5791.25,True,False,True,False,False,False,False,True,False,True,False,False,0
44,3,9,4,4,3,3,3,1,3,0,1,26525,3,6631.25,True,False,False,True,True,True,False,False,False,True,False,False,0
37,1,9,4,4,1,3,6,0,5,1,2,21197,2,5299.25,True,False,False,True,True,False,True,False,True,False,False,False,0
29,1,13,3,5,1,3,3,1,4,1,1,21381,2,7127.0,False,False,True,False,True,True,False,False,True,False,False,False,0
40,3,10,3,4,2,3,1,0,2,1,0,25855,3,8618.333333,True,False,False,True,True,False,False,False,False,False,True,False,0
29,3,16,2,3,1,4,2,0,2,0,1,17297,1,8648.5,True,False,False,True,True,True,False,False,True,False,False,False,0
48,1,16,4,4,1,3,6,0,3,1,1,20783,3,5195.75,True,False,True,False,False,False,True,False,True,False,False,False,0
50,3,6,3,3,5,3,4,0,1,1,0,34517,3,11505.66667,True,False,False,True,False,True,False,False,False,False,False,True,0
32,1,7,4,4,3,5,3,0,5,1,1,22826,3,5706.5,False,False,True,False,False,True,False,False,False,True,False,False,0
34,3,14,3,4,3,5,2,0,3,0,1,23051,2,7683.666667,False,False,False,True,True,False,False,False,False,True,False,False,0
39,3,17,3,4,3,3,3,1,3,1,1,24344,2,8114.666667,False,True,False,False,False,False,False,True,False,True,False,False,0
23,1,6,2,3,1,3,2,0,4,0,1,16223,1,8111.5,True,False,True,False,True,False,False,False,True,False,False,False,0
24,1,23,3,3,1,4,2,0,2,0,1,17210,2,5736.666667,True,False,True,False,False,False,False,False,True,False,False,False,1
42,1,6,2,4,3,3,1,1,3,0,1,21062,1,10531.0,True,False,True,False,False,False,False,False,False,True,False,False,0
34,1,8,3,4,1,3,4,0,5,1,0,17768,3,5922.666667,True,False,True,False,True,True,False,False,True,False,False,False,0
33,1,9,4,4,1,4,3,0,3,1,2,20071,2,5017.75,True,False,True,False,True,False,True,False,True,False,False,False,1
45,1,6,3,1,5,3,1,0,4,1,1,34202,2,11400.66667,True,False,True,False,True,True,False,False,False,False,False,True,0
43,1,16,4,5,5,3,2,0,1,1,2,38291,2,9572.75,True,False,True,False,True,False,True,False,False,False,False,True,0
54,3,9,2,3,3,5,3,0,4,1,0,20940,2,10470.0,True,False,False,True,False,True,False,False,False,True,False,False,0
35,3,6,3,3,2,4,2,0,4,1,2,22295,1,7431.666667,True,False,False,True,True,False,False,False,False,False,True,False,0
40,3,8,3,3,5,3,1,0,3,0,0,33041,3,11013.66667,True,False,True,False,False,False,False,False,False,False,False,True,0
28,3,9,3,3,1,4,2,0,1,1,0,17856,3,5952.0,True,False,False,True,False,True,False,False,True,False,False,False,0
34,1,6,2,3,1,3,2,0,3,1,1,17691,1,8845.5,True,False,True,False,True,True,False,False,True,False,False,False,0
53,3,30,3,3,2,5,7,1,3,1,2,25448,1,8482.666667,True,False,True,False,True,False,False,True,False,False,True,False,1
23,1,32,2,3,1,3,2,0,1,0,1,17904,1,8952.0,True,False,True,False,True,True,False,False,True,False,False,False,0
51,1,17,4,5,2,3,8,0,5,1,2,29174,2,7293.5,True,True,False,False,True,False,True,False,False,False,True,False,0
41,1,25,2,3,3,5,3,0,1,0,0,18072,2,9036.0,True,False,True,False,True,True,False,False,False,True,False,False,0
39,2,8,2,4,3,3,1,0,3,1,0,20204,2,10102.0,True,False,True,False,False,True,False,False,False,True,False,False,0
47,1,8,3,3,3,3,6,0,1,0,0,20070,3,6690.0,True,False,False,True,False,True,False,False,False,True,False,False,0
30,1,34,4,4,3,3,6,0,2,1,1,23013,3,5753.25,True,False,False,True,False,False,False,False,False,True,False,False,0
55,1,8,3,4,2,3,2,0,5,0,2,29180,1,9726.666667,False,False,True,False,False,True,False,False,False,False,True,False,0
38,3,9,2,3,3,3,1,1,3,1,1,21861,1,10930.5,True,False,True,False,True,False,False,True,False,True,False,False,0
43,3,11,3,4,3,5,2,0,5,1,1,23833,2,7944.333333,True,False,False,True,True,False,False,True,False,True,False,False,0
27,2,28,2,4,1,4,2,0,1,1,0,17863,2,8931.5,False,False,True,False,False,True,False,False,True,False,False,False,1
33,3,17,3,4,3,3,3,0,4,1,2,24074,1,8024.666667,True,False,False,True,True,False,False,True,False,True,False,False,0
41,1,33,4,5,3,3,5,1,1,0,2,23100,2,5775.0,False,False,False,True,False,True,False,False,False,True,False,False,0
60,1,21,3,4,2,3,2,1,5,1,1,29190,2,9730.0,False,False,True,False,False,False,True,False,False,False,True,False,1
27,1,31,4,6,1,3,3,1,3,0,2,21018,2,5254.5,True,True,False,False,True,False,True,False,True,False,False,False,1
33,3,15,3,4,2,3,3,0,4,1,2,27676,1,9225.333333,False,False,False,True,False,False,False,True,False,False,True,False,0
40,3,30,3,1,4,4,5,1,3,1,0,28194,3,9398.0,False,False,True,False,False,False,False,True,False,False,False,False,1
26,1,9,3,3,1,5,1,0,3,0,2,18102,1,6034.0,False,True,False,False,True,False,True,False,True,False,False,False,1
42,1,15,3,4,5,3,1,0,1,1,1,34613,2,11537.66667,True,False,True,False,True,False,True,False,False,False,False,True,0
25,1,11,3,5,1,3,2,0,3,0,2,21840,1,7280.0,False,False,True,False,True,True,False,False,True,False,False,False,0
33,3,15,3,3,3,5,1,1,3,0,0,23224,3,7741.333333,True,False,False,True,False,False,False,True,False,True,False,False,1
38,1,26,3,4,3,3,5,0,1,0,1,24446,2,8148.666667,True,False,True,False,True,True,False,False,False,True,False,False,0
55,2,26,3,4,2,4,4,0,3,1,2,29403,1,9801.0,True,False,False,True,True,True,False,False,False,False,True,False,0
24,3,16,3,4,1,5,3,0,5,1,1,20468,2,6822.666667,False,False,False,True,True,True,False,False,True,False,False,False,1
34,1,11,2,4,2,5,3,0,2,0,0,26631,2,13315.5,True,False,False,True,False,False,False,True,False,False,True,False,0
29,2,7,3,4,1,3,3,0,4,0,2,21384,1,7128.0,False,False,True,False,True,True,False,False,True,False,False,False,0
41,1,15,4,4,3,5,4,1,1,0,1,25194,3,6298.5,True,False,True,False,False,True,False,False,False,True,False,False,0
32,1,19,3,4,1,4,2,0,5,0,0,17743,3,5914.333333,False,False,True,False,False,False,False,False,True,False,False,False,0
45,3,35,3,2,4,3,5,1,1,1,1,31998,2,10666.0,True,False,False,True,False,True,False,False,False,False,False,False,0
35,3,21,3,4,1,3,3,1,5,1,1,21257,2,7085.666667,True,True,False,False,False,True,False,False,True,False,False,False,0
40,1,29,3,4,2,5,3,1,5,1,2,29558,1,9852.666667,False,False,False,True,False,False,True,False,False,False,True,False,0
51,1,13,2,4,3,3,3,0,3,1,1,21132,1,10566.0,True,False,False,True,True,False,False,False,False,True,False,False,0
39,1,6,3,3,1,3,1,0,3,1,0,17232,3,5744.0,True,False,False,True,False,True,False,False,True,False,False,False,0
19,3,28,2,3,1,3,2,1,2,0,1,16675,1,8337.5,True,False,False,True,True,False,True,False,True,False,False,False,1
39,3,17,3,4,3,3,3,1,3,0,2,24344,1,8114.666667,False,True,False,False,False,False,False,True,False,True,False,False,0
37,1,14,4,4,1,3,4,0,3,1,3,23356,1,5839.0,True,False,True,False,True,False,False,True,True,False,False,False,0
42,3,18,3,3,3,3,4,1,1,0,0,20087,3,6695.666667,True,False,False,True,True,True,False,False,False,True,False,False,0
30,3,17,3,4,1,3,3,0,4,0,1,21320,2,7106.666667,True,False,True,False,True,False,False,True,True,False,False,False,0
44,1,35,4,2,1,3,6,0,3,0,3,23417,1,5854.25,False,False,False,True,False,False,False,True,True,False,False,False,0
45,1,34,2,4,4,4,2,0,3,1,0,31704,2,15852.0,True,True,False,False,False,False,True,False,False,False,False,False,0
36,1,32,4,5,2,4,5,0,3,1,2,29581,2,7395.25,True,True,False,False,True,True,False,False,False,False,True,False,0
36,1,29,3,6,1,3,2,0,4,1,1,22908,2,7636.0,True,False,True,False,True,False,False,True,True,False,False,False,0
33,1,10,4,4,3,5,3,0,1,1,1,25403,3,6350.75,True,False,False,True,False,True,False,False,False,True,False,False,0
39,1,17,3,6,2,3,5,0,1,1,2,31884,1,10628.0,True,False,False,True,False,True,False,False,False,False,True,False,0
44,1,16,4,4,3,3,5,1,3,1,3,24357,1,6089.25,False,False,False,True,True,True,False,False,False,True,False,False,0
36,1,24,3,3,3,3,3,0,3,0,1,22779,2,7593.0,False,False,True,False,True,False,False,True,False,True,False,False,0
20,1,16,3,4,1,5,3,0,3,0,2,21230,1,7076.666667,True,False,True,False,True,False,True,False,True,False,False,False,0
46,1,14,3,4,1,3,6,1,3,0,2,23155,1,7718.333333,True,False,False,True,False,True,False,False,True,False,False,False,0
55,1,14,2,3,4,3,3,1,3,1,1,29756,1,14878.0,True,False,False,True,False,True,False,False,False,False,False,False,0
35,1,33,4,5,1,3,3,0,1,1,1,20707,3,5176.75,False,True,False,False,False,True,False,False,True,False,False,False,0
32,1,15,4,4,3,3,3,0,5,0,2,23102,2,5775.5,True,False,True,False,False,False,False,True,False,True,False,False,0
41,3,16,2,3,3,3,1,0,2,0,1,21230,1,10615.0,False,False,True,False,True,False,True,False,False,True,False,False,0
38,3,13,4,4,3,3,6,0,3,0,1,25180,3,6295.0,True,False,False,True,True,False,False,False,False,True,False,False,0
35,3,30,4,4,3,3,2,0,5,0,2,23246,2,5811.5,False,False,False,True,True,False,False,True,False,True,False,False,0
37,1,13,3,4,1,3,2,0,5,1,2,21888,1,7296.0,True,False,True,False,True,True,False,False,True,False,False,False,0
25,1,13,3,4,1,3,2,0,1,0,2,17889,1,5963.0,True,False,False,True,True,True,False,False,True,False,False,False,0
32,3,14,3,4,3,4,2,1,2,1,0,20228,3,6742.666667,True,True,False,False,False,False,False,False,False,True,False,False,0
36,1,30,4,6,1,3,2,0,1,1,1,21383,3,5345.75,True,False,False,True,True,True,False,False,True,False,False,False,0
24,2,16,2,3,1,3,1,0,4,1,1,17145,1,8572.5,False,False,False,True,True,True,False,False,True,False,False,False,0
26,3,26,3,5,1,4,3,1,2,0,1,21091,2,7030.333333,True,False,False,True,True,False,False,False,True,False,False,False,1
49,1,26,3,3,3,5,2,0,2,1,2,21567,1,7189.0,True,False,False,True,False,False,False,False,False,True,False,False,0
47,1,10,3,4,2,4,1,1,4,1,2,25333,1,8444.333333,True,False,True,False,False,True,False,False,False,False,True,False,0
41,1,16,3,4,4,5,5,0,1,1,0,32181,3,10727.0,False,False,True,False,True,True,False,False,False,False,False,False,0
25,1,8,3,1,3,3,2,0,1,0,1,20206,2,6735.333333,False,False,True,False,True,True,False,False,False,True,False,False,0
34,1,22,3,4,1,3,2,0,5,1,2,17553,1,5851.0,False,False,True,False,False,False,True,False,True,False,False,False,0
40,1,6,2,3,1,4,4,0,1,1,1,17387,1,8693.5,True,False,True,False,True,False,False,False,True,False,False,False,0
22,1,25,3,3,1,3,2,0,2,0,1,17323,2,5774.333333,True,False,False,True,True,False,False,False,True,False,False,False,0
31,1,17,3,3,3,5,2,1,2,0,2,21833,1,7277.666667,True,False,False,True,True,False,False,False,False,True,False,False,0
36,1,15,3,2,1,3,3,0,5,1,2,20947,1,6982.333333,True,False,True,False,True,True,False,False,True,False,False,False,0
38,1,8,3,3,1,3,7,1,4,0,2,18057,1,6019.0,True,False,False,True,True,True,False,False,True,False,False,False,0
45,1,17,3,4,3,3,4,1,3,0,2,25143,1,8381.0,True,False,True,False,True,True,False,False,False,True,False,False,0
37,1,10,4,2,3,5,8,0,1,1,3,25520,1,6380.0,True,False,True,False,True,True,False,False,False,True,False,False,0
25,3,11,2,4,3,3,2,1,3,1,0,20744,2,10372.0,True,False,False,True,True,False,True,False,False,True,False,False,1
32,3,8,3,3,1,5,2,0,3,1,0,17827,3,5942.333333,False,False,True,False,False,True,False,False,True,False,False,False,0
27,1,12,3,4,1,3,1,0,2,1,1,17187,2,5729.0,True,False,False,True,False,True,False,False,True,False,False,False,0
42,3,11,2,3,5,3,7,0,4,0,1,33303,1,16651.5,True,False,False,True,True,False,False,False,False,False,False,True,0
44,1,34,2,3,4,5,4,0,1,1,0,31328,2,15664.0,True,False,True,False,True,False,False,False,False,False,False,False,0
39,1,36,3,4,3,3,3,0,3,1,1,21084,2,7028.0,False,False,True,False,False,False,True,False,False,True,False,False,0
35,1,6,2,4,1,3,7,0,1,1,1,17258,1,8629.0,True,False,False,True,True,True,False,False,True,False,False,False,0
48,1,23,4,2,3,3,3,1,2,0,1,23745,3,5936.25,False,False,False,True,True,True,False,False,False,True,False,False,0
37,3,9,4,4,1,3,5,1,3,0,1,21322,3,5330.5,True,False,True,False,True,False,False,True,True,False,False,False,0
28,1,15,3,3,1,3,2,0,1,1,0,17070,3,5690.0,True,False,False,True,True,True,False,False,True,False,False,False,0
41,1,9,4,4,1,3,4,0,1,1,2,20679,2,5169.75,True,False,False,True,False,True,False,False,True,False,False,False,0
29,1,21,3,5,1,3,1,1,5,1,1,17168,2,5722.666667,True,False,True,False,False,True,False,False,True,False,False,False,0
37,1,15,2,3,1,3,2,1,1,0,1,17326,1,8663.0,False,False,False,True,True,True,False,False,True,False,False,False,0
31,1,13,2,3,2,3,2,1,4,1,1,22143,1,11071.5,True,False,False,True,False,False,False,True,False,False,True,False,0
27,1,23,3,4,1,4,4,1,1,1,1,21051,2,7017.0,True,False,False,True,True,True,False,False,True,False,False,False,1
50,1,15,3,4,2,4,6,0,4,0,2,26081,1,8693.666667,True,False,True,False,False,True,False,False,False,False,True,False,0
50,3,6,3,3,3,3,1,0,1,0,1,21347,2,7115.666667,False,False,True,False,False,True,False,False,False,True,False,False,0
35,1,7,4,4,1,5,7,0,1,1,3,21674,1,5418.5,False,False,True,False,True,True,False,False,True,False,False,False,0
37,1,9,4,4,1,3,6,0,5,1,1,21221,3,5305.25,True,False,True,False,False,True,False,False,True,False,False,False,0
31,3,11,4,5,3,4,3,1,3,1,1,23887,3,5971.75,True,False,False,True,False,True,False,False,False,True,False,False,0
34,1,16,2,3,3,5,2,0,4,0,0,21125,2,10562.5,True,False,False,True,True,False,True,False,False,True,False,False,1
39,1,16,4,4,1,3,4,0,1,1,2,23449,2,5862.25,True,False,True,False,True,True,False,False,True,False,False,False,0
37,1,9,2,3,2,3,2,0,1,1,0,24434,2,12217.0,True,False,True,False,True,True,False,False,False,False,True,False,0
37,1,25,3,2,1,3,6,0,5,1,2,22366,1,7455.333333,False,False,True,False,True,True,False,False,True,False,False,False,0
34,1,13,2,3,2,4,1,0,3,1,0,26994,2,13497.0,True,False,True,False,False,False,False,True,False,False,True,False,0
32,1,18,4,4,3,5,3,1,2,0,3,25511,1,6377.75,True,False,False,True,True,False,False,False,False,True,False,False,0
48,1,28,2,3,4,3,4,0,5,0,0,32174,2,16087.0,False,False,False,True,False,True,False,False,False,False,False,False,0
51,1,6,3,3,1,3,2,0,4,1,0,17723,3,5907.666667,True,False,True,False,True,False,False,False,True,False,False,False,0
22,1,13,3,3,1,4,2,1,3,1,0,17472,3,5824.0,True,False,True,False,True,False,True,False,True,False,False,False,1
28,1,17,3,4,2,5,3,0,3,1,1,27471,2,9157.0,False,False,True,False,True,True,False,False,False,False,True,False,0
41,1,31,4,4,3,3,3,0,3,1,2,21997,2,5499.25,True,True,False,False,True,True,False,False,False,True,False,False,0
24,1,6,3,3,1,3,3,1,3,0,2,17293,1,5764.333333,True,False,False,True,True,True,False,False,True,False,False,False,1
29,3,12,3,4,3,5,2,0,1,1,1,27141,2,9047.0,True,False,False,True,True,False,False,True,False,True,False,False,0
43,1,16,2,4,3,3,2,0,3,1,0,20257,2,10128.5,False,False,True,False,False,True,False,False,False,True,False,False,0
42,1,8,2,3,2,3,3,1,3,1,0,25124,2,12562.0,False,False,True,False,True,True,False,False,False,False,True,False,0
25,3,32,2,3,3,3,2,0,4,0,0,21180,2,10590.0,True,False,False,True,False,False,True,False,False,True,False,False,0
23,3,8,3,3,1,5,4,0,3,1,1,17322,2,5774.0,True,True,False,False,True,True,False,False,True,False,False,False,0
38,1,14,2,4,3,4,2,1,1,1,0,17133,2,8566.5,False,False,False,True,False,True,False,False,False,True,False,False,0
35,3,17,3,4,3,3,3,1,1,1,2,22679,1,7559.666667,False,False,True,False,True,True,False,False,False,True,False,False,0
